STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag),LAST UPDATE
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2019,,10.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2020,,10.2,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2021,,10.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2022,,9.6,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2023,,10.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BA,Bosnia and Herzegovina,2021,,28.8,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BA,Bosnia and Herzegovina,2022,,27.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BA,Bosnia and Herzegovina,2023,,25.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2009,,14.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2010,,14.1,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2011,,15.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2012,,15.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2013,,15.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2014,,14.2,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2015,,15.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2016,,14.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2017,,13.2,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2018,,13.1,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2019,,12.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2020,,12.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2021,,9.7,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2022,,9.1,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BE,Belgium,2023,,9.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2009,,24.1,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2010,,25.9,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2011,,26.7,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2012,,26.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2013,,27.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2014,,26.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2015,,24.8,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2016,,25.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2017,,23.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2018,,21.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2019,,20.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2020,,21.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2021,,20.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2022,,16.9,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,BG,Bulgaria,2023,,15.2,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2010,,9.6,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2011,,8.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2012,,8.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2013,,8.6,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2014,,8.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2015,,7.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2016,,7.8,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2017,,7.1,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2018,,6.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2019,,6.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2020,,5.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CH,Switzerland,2023,,7.8,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2009,,14.2,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2010,,14.8,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2011,,15.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2012,,17.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2013,,20.1,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2014,,18.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2015,,19.2,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2016,,19.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2017,,19.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2018,,15.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2019,,15.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2020,,16.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2021,,16.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2022,,17.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CY,Cyprus,2023,,14.8,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2009,,17.6,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2010,,17.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2011,,16.9,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2012,,17.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2013,,17.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2014,,17.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2015,,17.2,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2016,,16.8,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2017,,15.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2018,,15.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2019,,15.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2020,,17.6,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2021,,17.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2022,,17.1,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,CZ,Czechia,2023,,15.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2009,,15.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2010,,14.9,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2011,,13.5,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2012,,13.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2013,,12.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2014,,12.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2015,,12.1,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2016,,12.5,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2017,,12.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2018,,11.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2019,,11.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2020,,10.7,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2021,,10.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2022,,10.2,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DE,Germany,2023,,10.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2009,,7.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2010,,7.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2011,,8.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2012,,9.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2013,,8.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2014,,8.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2015,,8.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2016,,8.7,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2017,,10.5,,b,break in time series,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2018,,9.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,DK,Denmark,2019,,9.6,,,,02/05/24 23:00:00
